,t_u,t_p,C_D,C_L
5664,3.540624999999831,3.540312499999831,2.706049674934485,-0.0071013034293697826
5665,3.541249999999831,3.540937499999831,2.7062242306161544,-0.007084177256831145
5666,3.541874999999831,3.5415624999998307,2.706398515119602,-0.0070673752601429045
5667,3.542499999999831,3.5421874999998306,2.706572528424978,-0.007050900200924329
5668,3.5431249999998307,3.5428124999998305,2.7067462705125704,-0.007034754809557702
5669,3.5437499999998305,3.5434374999998304,2.706919741362801,-0.007018941784812064
5670,3.5443749999998304,3.5440624999998303,2.7070929409562274,-0.0070034637932426995
5671,3.5449999999998303,3.54468749999983,2.707265869272935,-0.006988323469311114
5672,3.54562499999983,3.54531249999983,2.7074385262944682,-0.006973523414242009
5673,3.54624999999983,3.54593749999983,2.707610912001047,-0.006959066196256737
5674,3.54687499999983,3.5465624999998298,2.707783026373767,-0.0069449543500269
5675,3.54749999999983,3.5471874999998296,2.707954869393697,-0.006931190375990031
5676,3.5481249999998297,3.5478124999998295,2.708126441042125,-0.006917776740425256
5677,3.5487499999998295,3.5484374999998294,2.7082977413000524,-0.006904715874712202
5678,3.5493749999998294,3.5490624999998293,2.7084687701491306,-0.006892010175169608
5679,3.5499999999998293,3.549687499999829,2.7086395275707726,-0.006879662002588412
5680,3.550624999999829,3.550312499999829,2.708810013546403,-0.006867673681771723
5681,3.551249999999829,3.550937499999829,2.708980228058154,-0.006856047501440032
5682,3.551874999999829,3.5515624999998288,2.7091501710872152,-0.006844785713695342
5683,3.552499999999829,3.5521874999998286,2.709319842616095,-0.006833890533470937
5684,3.5531249999998287,3.5528124999998285,2.709489242626533,-0.006823364138505752
5685,3.5537499999998285,3.5534374999998284,2.7096583711006867,-0.006813208668897149
5686,3.5543749999998284,3.5540624999998283,2.709827228020963,-0.006803426226636683
5687,3.5549999999998283,3.554687499999828,2.7099958133694693,-0.006794018875286386
5688,3.555624999999828,3.555312499999828,2.7101641271287114,-0.006784988639794965
5689,3.556249999999828,3.555937499999828,2.710332169281312,-0.006776337505940758
5690,3.556874999999828,3.5565624999998278,2.7104999398098055,-0.006768067420139582
5691,3.557499999999828,3.5571874999998276,2.7106674386970004,-0.00676018028910925
5692,3.5581249999998277,3.5578124999998275,2.7108346659259013,-0.006752677979404783
5693,3.5587499999998276,3.5584374999998274,2.711001621479117,-0.0067455623172151
5694,3.5593749999998274,3.5590624999998273,2.7111683053399003,-0.006738835088105529
5695,3.5599999999998273,3.559687499999827,2.711334717491484,-0.006732498036473174
5696,3.560624999999827,3.560312499999827,2.7115008579167497,-0.006726552865442939
5697,3.561249999999827,3.560937499999827,2.7116667265995043,-0.0067210012365041425
5698,3.561874999999827,3.5615624999998268,2.711832323522659,-0.006715844769065838
5699,3.562499999999827,3.5621874999998266,2.7119976486700685,-0.006711085040423393
5700,3.5631249999998267,3.5628124999998265,2.712162702025466,-0.006706723585170851
5701,3.5637499999998266,3.5634374999998264,2.712327483572222,-0.006702761895154177
5702,3.5643749999998264,3.5640624999998263,2.7124919932942735,-0.0066992014189340456
5703,3.5649999999998263,3.564687499999826,2.7126562311754587,-0.006696043561807649
5704,3.565624999999826,3.565312499999826,2.712820197199935,-0.006693289685186936
5705,3.566249999999826,3.565937499999826,2.712983891351565,-0.006690941106630484
5706,3.566874999999826,3.5665624999998258,2.713147313614622,-0.006688999099327414
5707,3.567499999999826,3.5671874999998257,2.7133104639732664,-0.006687464891908678
5708,3.5681249999998257,3.5678124999998255,2.7134733424119393,-0.00668633966837724
5709,3.5687499999998256,3.5684374999998254,2.713635948914836,-0.006685624567577949
5710,3.5693749999998254,3.5690624999998253,2.713798283466773,-0.006685320682857408
5711,3.5699999999998253,3.569687499999825,2.71396034605217,-0.00668542906233685
5712,3.570624999999825,3.570312499999825,2.714122136655601,-0.006685950708037714
5713,3.571249999999825,3.570937499999825,2.714283655261851,-0.006686886576153128
5714,3.571874999999825,3.571562499999825,2.714444901856052,-0.006688237576424231
5715,3.572499999999825,3.5721874999998247,2.7146058764226098,-0.006690004572156103
5716,3.5731249999998247,3.5728124999998245,2.7147665789468216,-0.00669218837976367
5717,3.5737499999998246,3.5734374999998244,2.7149270094137985,-0.0066947897690521245
5718,3.5743749999998244,3.5740624999998243,2.7150871678083885,-0.006697809462099566
5719,3.5749999999998243,3.574687499999824,2.7152470541163014,-0.006701248134184215
5720,3.575624999999824,3.575312499999824,2.7154066683221583,-0.0067051064124025285
5721,3.576249999999824,3.575937499999824,2.715566010411905,-0.006709384876371072
5722,3.576874999999824,3.576562499999824,2.7157250803706448,-0.0067140840578105284
5723,3.577499999999824,3.5771874999998237,2.7158838781841887,-0.00671920443991274
5724,3.5781249999998237,3.5778124999998235,2.716042403837637,-0.006724746457622703
5725,3.5787499999998236,3.5784374999998234,2.7162006573170916,-0.006730710497352285
5726,3.5793749999998234,3.5790624999998233,2.7163586386081358,-0.006737096896788607
5727,3.5799999999998233,3.579687499999823,2.71651634769637,-0.00674390594462884
5728,3.580624999999823,3.580312499999823,2.716673784567878,-0.00675113788042262
5729,3.581249999999823,3.580937499999823,2.716830949208368,-0.00675879289470467
5730,3.581874999999823,3.581562499999823,2.7169878416038835,-0.006766871128286653
5731,3.582499999999823,3.5821874999998227,2.717144461740504,-0.006775372672750377
5732,3.5831249999998227,3.5828124999998225,2.7173008096043327,-0.00678429756958308
5733,3.5837499999998226,3.5834374999998224,2.717456885181352,-0.006793645810878269
5734,3.5843749999998225,3.5840624999998223,2.7176126884578276,-0.0068034173383940055
5735,3.5849999999998223,3.584687499999822,2.7177682194201407,-0.006813612044016577
5736,3.585624999999822,3.585312499999822,2.717923478054412,-0.006824229769229273
5737,3.586249999999822,3.585937499999822,2.7180784643471467,-0.0068352703052730855
5738,3.586874999999822,3.586562499999822,2.718233178284678,-0.006846733392789916
5739,3.587499999999822,3.5871874999998217,2.718387619853495,-0.006858618722104975
5740,3.5881249999998217,3.5878124999998215,2.7185417890401022,-0.006870925932604319
5741,3.5887499999998216,3.5884374999998214,2.7186956858309688,-0.0068836546130226885
5742,3.5893749999998215,3.5890624999998213,2.718849310212702,-0.006896804301274666
5743,3.5899999999998213,3.589687499999821,2.7190026621721537,-0.006910374484218404
5744,3.590624999999821,3.590312499999821,2.719155741695691,-0.006924364597827649
5745,3.591249999999821,3.590937499999821,2.719308548770055,-0.006938774026795284
5746,3.591874999999821,3.591562499999821,2.719461083382335,-0.006953602104836684
5747,3.592499999999821,3.5921874999998207,2.719613345518856,-0.006968848114306458
5748,3.5931249999998207,3.5928124999998206,2.7197653351666657,-0.006984511286370614
5749,3.5937499999998206,3.5934374999998204,2.71991705231266,-0.007000590800773289
5750,3.5943749999998205,3.5940624999998203,2.720068496943562,-0.007017085785873421
5751,3.5949999999998203,3.59468749999982,2.7202196690463527,-0.0070339953187759955
5752,3.59562499999982,3.59531249999982,2.7203705686078243,-0.007051318424907021
5753,3.59624999999982,3.59593749999982,2.7205211956150737,-0.0070690540783428174
5754,3.59687499999982,3.59656249999982,2.7206715500550303,-0.0070872012016587865
5755,3.59749999999982,3.5971874999998197,2.720821631914727,-0.007105758665844903
5756,3.5981249999998197,3.5978124999998196,2.720971441180929,-0.007124725290509247
5757,3.5987499999998196,3.5984374999998194,2.7211209778407643,-0.00714409984356603
5758,3.5993749999998195,3.5990624999998193,2.721270241881465,-0.007163881041485077
5759,3.5999999999998193,3.599687499999819,2.721419233289736,-0.007184067549161642
5760,3.600624999999819,3.600312499999819,2.7215679520526774,-0.007204657980162509
5761,3.601249999999819,3.600937499999819,2.721716398157517,-0.007225650896336332
5762,3.601874999999819,3.601562499999819,2.721864571591108,-0.007247044808215624
5763,3.602499999999819,3.6021874999998187,2.722012472340565,-0.0072688381749242
5764,3.6031249999998187,3.6028124999998186,2.7221601003928604,-0.007291029404154501
5765,3.6037499999998186,3.6034374999998184,2.7223074557351077,-0.007313616852181616
5766,3.6043749999998185,3.6040624999998183,2.72245453835424,-0.0073365988242950365
5767,3.6049999999998183,3.604687499999818,2.7226013482373927,-0.0073599735741228306
5768,3.6056249999998182,3.605312499999818,2.7227478853712634,-0.00738373930446241
5769,3.606249999999818,3.605937499999818,2.722894149743212,-0.00740789416689702
5770,3.606874999999818,3.606562499999818,2.7230401413398324,-0.007432436262015173
5771,3.607499999999818,3.6071874999998177,2.7231858601484835,-0.007457363639404157
5772,3.6081249999998177,3.6078124999998176,2.7233313061555227,-0.007482674297878231
5773,3.6087499999998176,3.6084374999998174,2.7234764793484634,-0.007508366185436863
5774,3.6093749999998175,3.6090624999998173,2.72362137971356,-0.0075344371994699655
5775,3.6099999999998174,3.609687499999817,2.7237660072380465,-0.007560885186881428
5776,3.6106249999998172,3.610312499999817,2.723910361908347,-0.0075877079438090985
5777,3.611249999999817,3.610937499999817,2.72405444371173,-0.007614903216672557
5778,3.611874999999817,3.611562499999817,2.7241982526344013,-0.007642468701090478
5779,3.612499999999817,3.6121874999998167,2.7243417886630907,-0.007670402042933446
5780,3.6131249999998167,3.6128124999998166,2.724485051784657,-0.007698700838084275
5781,3.6137499999998166,3.6134374999998164,2.724628041985513,-0.007727362632798646
5782,3.6143749999998165,3.6140624999998163,2.7247707592520047,-0.007756384923361802
5783,3.6149999999998164,3.614687499999816,2.7249132035707087,-0.007785765156907571
5784,3.6156249999998162,3.615312499999816,2.7250553749280253,-0.00781550073111214
5785,3.616249999999816,3.615937499999816,2.725197273310337,-0.007845588994448987
5786,3.616874999999816,3.616562499999816,2.725338898703728,-0.007876027246623353
5787,3.617499999999816,3.6171874999998157,2.725480251094349,-0.007906812738378814
5788,3.6181249999998157,3.6178124999998156,2.72562133046857,-0.007937942671929519
5789,3.6187499999998156,3.6184374999998155,2.7257621368121443,-0.007969414201056147
5790,3.6193749999998155,3.6190624999998153,2.725902670111151,-0.008001224431340817
5791,3.6199999999998154,3.619687499999815,2.7260429303514435,-0.008033370420412677
5792,3.6206249999998152,3.620312499999815,2.7261829175186247,-0.008065849178053778
5793,3.621249999999815,3.620937499999815,2.7263226315984803,-0.008098657666468669
5794,3.621874999999815,3.621562499999815,2.72646207257688,-0.00813179280049601
